Species,Scientific Name, Common Name,Sex,N,Mean,S.D.,Min,Max, Season,Location ,Source #
Accipiter imitator,Accipiter imitator,Imitator Goshawk,M,1,208,, , ,,,"138, 658"
Accipiter imitator,Accipiter imitator,Imitator Goshawk,F,2,238,,225,250,,,
Accipiter poliocephalus,Accipiter poliocephalus,Gray-headed Goshawk,M,3,205,,200,210,, ,138
Accipiter poliocephalus,Accipiter poliocephalus,Gray-headed Goshawk,F,1,225,,,,,,
Accipiter superciliosus,Accipiter superciliosus,Tiny Hawk,M,3,73.9,,61.5,86.2,,Columbia; Brazil; Peru; Ecuador,"370, 747, 1037,1160"
Accipiter superciliosus,Accipiter superciliosus,Tiny Hawk,F,3,134,,116,152,,,
Accipiter erythropus,Accipiter erythropus,Red-thighed Sparrowhawk,M,3,84.7,,78,94,,,139
Accipiter erythropus,Accipiter erythropus,Red-thighed Sparrowhawk,F,3,146,,132,170,,,
Accipiter minullus,Accipiter minullus,Little Sparrowhawk,M,2,75.7,,75.3,76.1,,Zimbabwe,564
Accipiter minullus,Accipiter minullus,Little Sparrowhawk,F,1,101,,,,,,
Accipiter gularis,Accipiter gularis,Japanese Sparrowhawk,M,7,104,,90,142,,,"138, 241, 436"
Accipiter gularis,Accipiter gularis,Japanese Sparrowhawk,F,15,140,,111,192,,,
Accipiter virgatus,Accipiter virgatus,Besra,M,10,100,,83.3,142,,,"273, 775, 954"
Accipiter virgatus,Accipiter virgatus,Besra,F,3,143,,103,192,,,
Accipiter virgatus confusus,Accipiter virgatus,Besra,M,,,,83,99,,,358
Accipiter virgatus confusus,Accipiter virgatus,Besra,F,,,,131,140,,,
Accipiter virgatus affinis,Accipiter virgatus,Besra,M,1,112,,,,,,358
Accipiter erythrauchen ,Accipiter erythrauchen,Rufous-necked Sparrowhawk,M,1,156,,,,,,138
Accipiter cirrocephalus,Accipiter cirrocephalus,Collared Sparrowhawk,M,16,126,14.2,101,156,,Australia,746
Accipiter cirrocephalus,Accipiter cirrocephalus,Collared Sparrowhawk,F,23,218,31.4,162,300,,,
Accipiter brachyurus,Accipiter brachyurus,New Britain Sparrowhawk,M,1,142,,,,,New Ireland,1148
Accipiter rhodogaster,Accipiter rhodogaster,Vinous-breasted Sparrowhawk,M,1,113,,,,,juveniles,358
Accipiter rhodogaster,Accipiter rhodogaster,Vinous-breasted Sparrowhawk,F,1,264,,,,,,
Accipiter madagascariensis,Accipiter madagascariensis,Madagascar Sparrowhawk,M,6,158,,108,200,,Madagascar ,957
Accipiter madagascariensis,Accipiter madagascariensis,Madagascar Sparrowhawk,F,4,206,,141,285,,,
Accipiter ovampensis,Accipiter ovampensis,Ovampo Sparrowhawk,U, ,195,,119,305,,,139
Accipiter nisus,Accipiter nisus,Eurasian Sparrowhawk,M,70,150,8.9,,,B,"Scotland, UK",850
Accipiter nisus,Accipiter nisus,Eurasian Sparrowhawk,F,246,325,26.3,,,,,
Accipiter rufiventris,Accipiter rufiventris,Rufous-chested Sparrowhawk,U,2,198,,185,210,,,139
Accipiter striatus ,Accipiter striatus,Sharp-shinned Hawk,M,435,103,6.4,82,125,F,"Wisconsin, USA",825
Accipiter striatus ,Accipiter striatus,Sharp-shinned Hawk,F,487,174,10.4,144,208,,,
Accipiter striatus venator,Accipiter striatus,Sharp-shinned Hawk,M,13,94.9,,,,,Puerto Rico,271
Accipiter striatus venator,Accipiter striatus,Sharp-shinned Hawk,F,11,171,,,,,,
Accipiter ventralis ,Accipiter ventralis,Plain-breasted Hawk,F,2,233,,224,242,,Venezuela ,1042
Accipiter erythronemius,Accipiter erythronemius,Rufous-thighed Hawk,F,1,125,,,,B,Bolivia,1143
Accipiter cooperii,Accipiter cooperii,Cooper's Hawk,M,51,349,19.6,297,380,F,"Wisconsin, USA",826
Accipiter cooperii,Accipiter cooperii,Cooper's Hawk,F,57,529,36.1,460,588,,,
Accipiter gundlachi,Accipiter gundlachi,Gundlach's Hawk,F,1,675,,,,,Cuba,19
Accipiter bicolor,Accipiter bicolor,Bicolored Hawk,M,7,212,,150,250,,,"211, 489, 498, 657, 796, 910a"
Accipiter bicolor,Accipiter bicolor,Bicolored Hawk,F,5,390,,300,454,,,
Accipiter chilensis,Accipiter chilensis,Chilean Hawk,F,4,368,,275,415,,Chile,570
Accipiter melanoleucus,Accipiter melanoleucus,Black Goshawk,U,19,699,,476,980,,,139
Accipiter henstii,Accipiter henstii,Henst's Goshawk,F,2,1050,,960,1140,,Madagascar ,957
Accipiter gentilis,Accipiter gentilis,Northern Goshawk,M,77,912,14.9,735,1099,F,"Wisconsin, USA",824
Accipiter gentilis,Accipiter gentilis,Northern Goshawk,F,103,1137,18.6,845,1364,,,
Accipiter gentilis apache,Accipiter gentilis,Northern Goshawk,M,45,704,32.7,631,774,B,"Arizona, USA",1158
Accipiter gentilis apache,Accipiter gentilis,Northern Goshawk,F,49,986,51.9,907,1100,,,
Accipiter gentilis schvedowi,Accipiter gentilis,Northern Goshawk,M,15,501,,357,600,,"Hopei, China",1087
Accipiter gentilis schvedowi,Accipiter gentilis,Northern Goshawk,F,1,1170,,,,,,
