Species,Scientific Name, Common Name,Sex,N,Mean,S.D.,Min,Max, Season,Location ,Source #
Pipreola riefferii,Pipreola riefferii,Green-and-black Fruiteater,B,20,49.3,,43,61,,,"881, 953, 1129"
Pipreola intermedia intermedia,Pipreola intermedia,Band-tailed Fruiteater,B,7,47.9,,44,58,,,1129
Pipreola intermedia signata,Pipreola intermedia,Band-tailed Fruiteater,B,3,54.7,,50.8,58.9,,,1129
Pipreola arcuata,Pipreola arcuata,Barred Fruiteater,B,12,118,, , ,,,"953, 963, 1129"
Pipreola aureopectus,Pipreola aureopectus,Golden-breasted Fruiteater,B,2,46,,46,46,,,1129
Pipreola pulchra,Pipreola pulchra,Masked Fruiteater,B,7,58.2,,51.2,63,,,"1129, 1288"
Pipreola chlorolepidota,Pipreola chlorolepidota,Fiery-throated Fruiteater,B,2,29.5,,28,31,,,1129
Pipreola frontalis,Pipreola frontalis,Scarlet-breasted Fruiteater,B,7,42.4,,39.5,45.3,,,1129
Pipreola formosa,Pipreola formosa,Handsome Fruiteater,B,10,47.2,,41,56,,,"1043, 1129"
Pipreola whitelyi kathleenae,Pipreola whitelyi,Red-banded Fruiteater,M,1,50,,,,,Venezuela,1143
Ampelioides tschudii,Ampelioides tschudii,Scaled Fruiteater,B,10,78.4,,70,95,,,"1037, 1129"
Iodopleura pipra,Iodopleura pipra,Buff-throated Purpletuft,M,1,9.6,,,,,northeast Brazil,1206
Iodopleura pipra,Iodopleura pipra,Buff-throated Purpletuft,F,1,10.5,,,,,,
Iodopleura isabellae,Iodopleura isabellae,White-browed Purpletuft,B,3,20,,19.8,20.2,,Peru,370
Iodopleura fusca,Iodopleura fusca,Dusky Purpletuft,M,1,15.3,,,,,,1129
Lipaugus subalaris,Lipaugus subalaris,Gray-tailed Piha,B,6,81.2,, , ,,,"1038a, 1129"
Lipaugus cryptolophus,Lipaugus cryptolophus,Olivaceous Piha,M,3,73.6,,72.1,75.8,,,785a
Lipaugus fuscocinereus,Lipaugus fuscocinereus,Dusky Piha,F,3,138,,,,,Peru; Columbia ,"237, 900"
Lipaugus uropygialis,Lipaugus uropygialis,Scimitar-winged Piha,M,1,116,,,,,,1129
Lipaugus vociferans,Lipaugus vociferans,Screaming Piha,B,12,82.2,,77,87,,Peru,1129
Lipaugus vociferans,Lipaugus vociferans,Screaming Piha,B,15,69.2,,60,74,,Suriname,498
Lipaugus unirufus,Lipaugus unirufus,Rufous Piha,B,9,82.1,,69,87.2,,,1129
Lipaugus lanioides,Lipaugus lanioides,Cinnamon-vented Piha,B,12,94.8,,85,110,,,1129
Lipaugus streptophorus,Lipaugus streptophorus,Rose-collared Piha,B,3,57.2,,52,60.5,,Venezuela,1143
Lipaugus weberi,Lipaugus weberi,Chestnut-capped Piha,B,2,72.1,,72,72.2,,Columbia,237
Porphyrolaema porphyrolaema,Porphyrolaema porphyrolaema,Purple-throated Cotinga,U,,60,,,,,Peru,1210
Cotinga amabilis,Cotinga amabilis,Lovely Cotinga,B,5,71.5,,66,75,,,1129
Cotinga ridgwayi,Cotinga ridgwayi,Turquoise Cotinga,M,16,53.6,3.6,,,,Panama,489
Cotinga ridgwayi,Cotinga ridgwayi,Turquoise Cotinga,F,6,61,,,,,,
Cotinga maynana,Cotinga maynana,Plum-throated Cotinga,U,,69,,,,,Peru,1210
Cotinga cotinga,Cotinga cotinga,Purple-breasted Cotinga,B,2,54,,53,55,,,1129
Cotinga maculata,Cotinga maculata,Banded Cotinga,M,1,65,,,,,,1129
Cotinga cayana,Cotinga cayana,Spangled Cotinga,B,16,61.8,,55,73,,Suriname,498
Xipholena punicea,Xipholena punicea,Pompadour Cotinga,B,15,68.1,,58,76,,,1129
Xipholena atropurpurea,Xipholena atropurpurea,White-winged Cotinga,M,,,,58,65,,,275
Xipholena atropurpurea,Xipholena atropurpurea,White-winged Cotinga,F,,,,56,67,,,
Carpodectes hopkei,Carpodectes hopkei,Black-tipped Cotinga,F,1,102,, , ,,Ecuador,1148
Carpodectes antoniae,Carpodectes antoniae,Yellow-billed Cotinga,U,,98,,,,,Costa Rica,1170
Carpodectes nitidus,Carpodectes nitidus,Snowy Cotinga,M,2,116,,,,,Panama,539
Carpodectes nitidus,Carpodectes nitidus,Snowy Cotinga,F,1,89,,,,,,
Conioptilon mcilhennyi,Conioptilon mcilhennyi,Black-faced Cotinga,U,,90,,,,,Peru,1210
Gymnoderus foetidus,Gymnoderus foetidus,Bare-necked Fruitcrow,M,2,345,,331,359,,Suriname,498
Gymnoderus foetidus,Gymnoderus foetidus,Bare-necked Fruitcrow,F,1,220,,,,,,
Haematoderus militaris,Haematoderus militaris,Crimson Fruitcrow,F,1,227,,,,B,"Rondonia, Brazil",1143
Querula purpurata,Querula purpurata,Purple-throated Fruitcrow,M,14,105,,91,122,,Central America; Guianas,1129
Querula purpurata,Querula purpurata,Purple-throated Fruitcrow,F,9,96.7,,91,105,,,
Querula purpurata,Querula purpurata,Purple-throated Fruitcrow,M,5,120,,112,133,,Peru,1129
Querula purpurata,Querula purpurata,Purple-throated Fruitcrow,F,6,109,,100,114,,,
Pyroderus scutatus,Pyroderus scutatus,Red-ruffed Fruitcrow,B,8,357,,293,419,,,1129
Cephalopterus penduliger,Cephalopterus penduliger,Long-wattled Umbrellabird,M,1,338,,,,,Ecuador,1147
Cephalopterus ornatus,Cephalopterus ornatus,Amazonian Umbrellabird,F,1,380,,,,,,1129
Cephalopterus glabricollis,Cephalopterus glabricollis,Bare-necked Umbrellabird,M,,450,,,,,Costa Rica,1170
Cephalopterus glabricollis,Cephalopterus glabricollis,Bare-necked Umbrellabird,F,,320,,,,,,
Perissocephalus tricolor,Perissocephalus tricolor,Capuchinbird,M,5,360,,320,395,,,1129
Perissocephalus tricolor,Perissocephalus tricolor,Capuchinbird,F,6,319,,267,367,,,
Procnias tricarunculatus,Procnias tricarunculatus,Three-wattled Bellbird,M,6,210,,194,233,,,1129
Procnias albus,Procnias albus,White Bellbird,M,1,210,,,,,,1129
Procnias averano,Procnias averano,Bearded Bellbird,M,4,168,,150,178,,,"296, 1129, 1043"
Procnias averano,Procnias averano,Bearded Bellbird,F,5,127,,111,135,,,
Procnias nudicollis,Procnias nudicollis,Bare-throated Bellbird,M,4,200,,177,225,,,1129
Procnias nudicollis,Procnias nudicollis,Bare-throated Bellbird,F,5,148,,140,150,,,
Rupicola rupicola,Rupicola rupicola,Guianan Cock-of-the-Rock,M,6,208,,188,225,,,"296, 1308"
Rupicola rupicola,Rupicola rupicola,Guianan Cock-of-the-Rock,F,8,182,,140,226,,,
Rupicola peruviana sanguinolenta,Rupicola peruviana,Andean Cock-of-the-Rock,M,3,271,,242,306,,,"785a, 1129"
Rupicola peruviana sanguinolenta,Rupicola peruviana,Andean Cock-of-the-Rock,F,4,217,,206,226,,,
Chloropipo unicolor,Chloropipo unicolor,Jet Manakin,U,27,15.5,0.9,,,,Peru,1288
Chloropipo uniformis,Chloropipo uniformis,Olive Manakin,M,2,19,,19,19,,Venezuela,296
Chloropipo uniformis,Chloropipo uniformis,Olive Manakin,F,8,16.8,,15,18,,,
Chloropipo holochlora,Chloropipo holochlora,Green Manakin,U,15,14.9,0.9,13.5,17.5,,Columbia,1037
Chloropipo flavicapilla,Chloropipo flavicapilla,Yellow-headed Manakin,F,5,17.8,,16.8,19.5,,Columbia,798
Manacus candei,Manacus candei,White-collared Manakin,M,21,18.8,3.1,,,,Costa Rica,618
Manacus candei,Manacus candei,White-collared Manakin,F,8,20.9,1,,,,,
Manacus aurantiacus,Manacus aurantiacus,Orange-collared Manakin,U,,15.5,,,,,Costa Rica,1170
Manacus vitellinus,Manacus vitellinus,Golden-collared Manakin,M,17,19.3,0.2,,,,Panama,489
Manacus vitellinus,Manacus vitellinus,Golden-collared Manakin,F,16,17.1,0.2,,,,,
Manacus manucus ,Manacus manucus,White-bearded Manakin,U,44,15,,12.2,18.1,,Brazil,875
Manacus manucus trinitatis,Manacus manucus,White-bearded Manakin,M,93,18.5,1.3,16,23,,Trinidad,359
Manacus manucus trinitatis,Manacus manucus,White-bearded Manakin,F,106,16.8,1.3,14,21.5,,,
Corapipo gutturalis,Corapipo gutturalis,White-throated Manakin,U,65,8.2,1,,,,Brazil,73
Corapipo altera,Corapipo altera,White-ruffed Manakin,M,87,11.1,0.8,,,,Costa Rica,1018a
Corapipo altera,Corapipo altera,White-ruffed Manakin,F,30,12.5,1,,,,,
Corapipo leucorrhoa,Corapipo leucorrhoa,White-bibbed Manakin,M,13,10.7, , , , , ,906
Corapipo leucorrhoa,Corapipo leucorrhoa,White-bibbed Manakin,F,4,12.7, , , ,,,
Chiroxiphia lanceolata,Chiroxiphia lanceolata,Lance-tailed Manakin,U,27,18.5,1.4,,,,Panama ,618
Chiroxiphia linearis,Chiroxiphia linearis,Long-tailed Manakin,M,149,17,2.3,11,26,,El Salvador,1041a
Chiroxiphia linearis,Chiroxiphia linearis,Long-tailed Manakin,F,116,17.9,2.5,9,23.5,,,
Chiroxiphia pareola,Chiroxiphia pareola,Blue-backed Manakin,M,13,16.3,,,,,,906
Chiroxiphia pareola,Chiroxiphia pareola,Blue-backed Manakin,F,3,17.4,,,,,,
Chiroxiphia boliviana,Chiroxiphia boliviana,Yungas Manakin,M,9,16.4,,,,,Peru,370
Chiroxiphia boliviana,Chiroxiphia boliviana,Yungas Manakin,F,20,17.9,1.1,,,,,
Chiroxiphia caudata,Chiroxiphia caudata,Blue Manakin,U,43,25.6,,20.5,30,,Brazil,878
Pipra aureola,Pipra aureola,Crimson-hooded Manakin,M,20,15.8,,14,18,,Suriname,498
Pipra aureola,Pipra aureola,Crimson-hooded Manakin,F,11,16.5,,15,18.5,,,
Pipra fasciicauda,Pipra fasciicauda,Band-tailed Manakin,B,130,15.9,,,,,Peru,1288
Pipra filicauda,Pipra filicauda,Wire-tailed Manakin,B,15,15.4,1.3,14,19,,Venezuela,1254
Pipra pipra ,Pipra pipra,White-crowned Manakin,M,11,10.3,,,,,,906
Pipra pipra ,Pipra pipra,White-crowned Manakin,F,10,12,,,,,,
Pipra coronata,Pipra coronata,Blue-crowned Manakin,M,30,8,,,,,,906
Pipra coronata,Pipra coronata,Blue-crowned Manakin,F,103,8.7,,,,,,
Pipra erythrocephala,Pipra erythrocephala,Golden-headed Manakin,M,223,12.8,1,10.5,17,,Trinidad,1131
Pipra erythrocephala,Pipra erythrocephala,Golden-headed Manakin,F,171,14.1,1,12,16.5,,,
Pipra mentalis,Pipra mentalis,Red-capped Manakin,U,24,15,,12.5,17.2,,Panama,874
Pipra rubrocapilla,Pipra rubrocapilla,Red-headed Manakin,U,17,12,,10.2,13,,Brazil,875
Pipra chloromeros,Pipra chloromeros,Round-tailed Manakin,B,16,16.5,,,,,,455
Pipra cornuta,Pipra cornuta,Scarlet-tailed Manakin,F,3,25.3,,21.5,28.5,,Venezuela,1308
Pipra iris,Pipra iris,Opal-crowned Manakin,U,1,8,,,,,Brazil,392
Pipra isidorei,Pipra isidorei,Blue-rumped Manakin,U,25,7.8,0.8,,,,Columbia,1038a
Pipra nattereri,Pipra nattereri,Snow-capped Manakin,M,2,8,,7.8,8.1,,Brazil ,1178
Pipra nattereri,Pipra nattereri,Snow-capped Manakin,F,8,8.8,,8.1,9.4,,,
Pipra coeruleocapilla,Pipra coeruleocapilla,Cerulean-capped Manakin,M,12,8.9,,,,, ,906
Pipra coeruleocapilla,Pipra coeruleocapilla,Cerulean-capped Manakin,F,6,10.5,,,,,,
Lepidothrix suavissima,Lepidothrix suavissima,Tepui Manakin,M,1,8.5,,,,,Venezuela,917
Lepidothrix serena,Lepidothrix serena,White-fronted Manakin,B,10,11.4,,10.8,12,,French Guiana,293
Antilophia galeata,Antilophia galeata,Helmeted Manakin,M,39,20.6,1.9,18,26.5,,Brazil,751
Antilophia galeata,Antilophia galeata,Helmeted Manakin,F,19,22.4,1.6,18.8,26.2,,,
Antilophia bokermanni,Antilophia bokermanni,Araripe Manakin,U,,,,19,20.5,,,275
Masius chrysopterus,Masius chrysopterus,Golden-winged Manakin,M,12,10.8,2.2,6.1,14,,Columbia,1037
Masius chrysopterus,Masius chrysopterus,Golden-winged Manakin,F,17,12.3,2,6.4,16,,,
Ilicura militaris,Ilicura militaris,Pin-tailed Manakin,M,23,12.7,2.1,11,19.5,,Brazil,753
Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,Fiery-capped Manakin,M,11,9.7,0.4,9,10.5,,Peru,319
Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,Fiery-capped Manakin,F,16,9.3,0.5,8.5,10.5,,,
Machaeropterus regulus,Machaeropterus regulus,Striped Manakin,M,15,9.6,,,,,,906
Machaeropterus regulus,Machaeropterus regulus,Striped Manakin,F,13,9.1,,,,,,
Machaeropterus deliciosus,Machaeropterus deliciosus,Club-winged Manakin,B,23,12.7,1.7,11,18,,Columbia,1037
Xenopipo atronitens,Xenopipo atronitens,Black Manakin,M,8,15.1,,14,17,,Suriname,498
Xenopipo atronitens,Xenopipo atronitens,Black Manakin,F,8,16,,14,18,,,
Heterocercus flavivertex,Heterocercus flavivertex,Yellow-crested Manakin,B,12,21.3,,18.3,24,,Venezuela,"947, 1308"
Heterocercus aurantiivertex,Heterocercus aurantiivertex,Orange-crested Manakin,U,,,,21,22,,,275
Heterocercus linteatus,Heterocercus linteatus,Flame-crested Manakin,U,4,21.2,,19.8,23.3,,Brazil,392
Neopelma chrysocephalum,Neopelma chrysocephalum,Saffron-crested Tyrant-Manakin,B,12,15.5,,13.4,17,,Suriname; Venezuela; Peru; Brazil,"10, 1178, 1308"
Neopelma sulphureiventer,Neopelma sulphureiventer,Sulphur-crested Tyrant-Manakin,M,2,18,,,,,Bolivia,49
Neopelma sulphureiventer,Neopelma sulphureiventer,Sulphur-crested Tyrant-Manakin,F,2,13.7,,,,,,
Neopelma pallescens,Neopelma pallescens,Pale-bellied Tyrant-Manakin,U,5,18.2,,16,20.4,,Brazil,392
Neopelma aurifrons,Neopelma aurifrons,Wied's Tyrant-Manakin,U,5,14,,13.5,14.9,,Brazil,"878, 1178"
Tyranneutes stolzmanni,Tyranneutes stolzmanni,Dwarf Tyrant-Manakin,U,6,7.2,,6.9,7.5,,Venezuela,1308
Tyranneutes virescens,Tyranneutes virescens,Tiny Tyrant-Manakin,M,5,6.8,,6,7.3,,Suriname,498
Tyranneutes virescens,Tyranneutes virescens,Tiny Tyrant-Manakin,F,4,7.6,,6,8.5,,,
Piprites pileatus,Piprites pileatus,Black-capped Piprites,M,1,15,,,,,Brazil,64
Piprites griseiceps,Piprites griseiceps,Gray-headed Piprites,U,4,16,,,,,Costa Rica,80
Piprites chloris,Piprites chloris,Wing-barred Piprites,M,6,16,,15,18.5,,Suriname,498
Ornithion inerme,Ornithion inerme,White-lored Tyrannulet,U,,7,,,,,Peru,1210
Ornithion semiflavus,Ornithion semiflavus,Yellow-bellied Tyrannulet,B,10,6.6,,5,7.4,,"Mexico, Costa Rica, Belize","379, 580, 1145"
Ornithion brunneicapillus,Ornithion brunneicapillus,Brown-capped Tyrannulet,U,3,7.1,,6.9,7.2,,Panama,1180
Camptostoma imberbe,Camptostoma imberbe,Northern Beardless-Tyrannulet,B,13,7.4,0.8,6.3,9.5,B,Mexico; Belize,1143
Camptostoma obsoletum,Camptostoma obsoletum,Southern Beardless-Tyrannulet,B,17,8.1,1.2,6,10,, ,"497, 613, 798, 1180"
Phaeomyias murina,Phaeomyias murina,Mouse-colored Tyrannulet,U,37,10,,8,12,,Trinidad,359
Nesotriccus ridgwayi,Nesotriccus ridgwayi,Cocos Island Flycatcher,U,,11,,,,,Cocos Island,1170
Capsiempis flaveola,Capsiempis flaveola,Yellow Tyrannulet,B,12,7.7,,,,,Panama; Venezuela,"489, 615, 1180, 1215"
Tyrannulus elatus,Tyrannulus elatus,Yellow-crowned Tyrannulet,B,11,7,,6.3,7.9,,Suriname,498
Myiopagis gaimardii,Myiopagis gaimardii,Forest Elaenia,B,13,12.6,,9.5,14,,Trinidad,359
Myiopagis gaimardii,Myiopagis gaimardii,Forest Elaenia,M,15,12.2,,9.5,17,,Suriname,498
Myiopagis gaimardii,Myiopagis gaimardii,Forest Elaenia,F,11,11.3,,9.7,13.3,,,
Myiopagis olallai,Myiopagis olallai,Foothill Elaenia,B,4,12.1,,11.1,14,,Ecuador; Peru,217
Myiopagis caniceps,Myiopagis caniceps,Gray Elaenia,B,11,10.5,,9.5,12.3,,Peru; Brazil,"64, 259, 988, 1204"
Myiopagis subplacens,Myiopagis subplacens,Pacific Elaenia,M,1,14.9,,,,,Peru,1302
Myiopagis subplacens,Myiopagis subplacens,Pacific Elaenia,F,4,16.9,,,,,,
Myiopagis flavivertex,Myiopagis flavivertex,Yellow-crowned Elaenia,M,9,12.3,,10.5,14,,Suriname,198
Myiopagis flavivertex,Myiopagis flavivertex,Yellow-crowned Elaenia,F,9,11.4,,10,13,,,
Myiopagis cotta,Myiopagis cotta,Jamaican Elaenia,M,2,11.6,,11.5,11.6,,Jamaica,19
Myiopagis viridicata viridicata,Myiopagis viridicata,Greenish Elaenia,B,17,12.3,0.8,11,13.6,,Argentina,253
Myiopagis viridicata minima,Myiopagis viridicata,Greenish Elaenia,B,11,10.1,0.4,9.6,10.8,,"Isla Tres Marias, Mexico",1151
Myiopagis viridicata jaliscensis,Myiopagis viridicata,Greenish Elaenia,B,18,12.3,1,11.3,14.6,,"Nayarit, Mexico",1151
Pseudelaenia leucospodia,Pseudelaenia leucospodia,Gray-and-white Tyrannulet,M,1,11.9,,,,,Peru,1043
Elaenia martinica,Elaenia martinica,Caribbean Elaenia,B,23,22.6,,18.5,28.5,,Cayman Islands,432
Elaenia martinica,Elaenia martinica,Caribbean Elaenia,B,50,19.4,2.1,17,23.2,,Antigua,19
Elaenia martinica,Elaenia martinica,Caribbean Elaenia,B,83,19.6,1.5,16.5,23.6,,Barbuda,19
Elaenia martinica,Elaenia martinica,Caribbean Elaenia,B,95,21.5,1.9,18,29.2,,Guadalupe,19
Elaenia martinica,Elaenia martinica,Caribbean Elaenia,B,402,19.2,1.6,14,25.7,,Puerto Rico,19
Elaenia martinica,Elaenia martinica,Caribbean Elaenia,B,18,22.8,1.4,20.1,25.7,,St. Vincent,19
Elaenia spectabilis,Elaenia spectabilis,Large Elaenia,B,8,27.3,,,,,Argentina; Brazil,"64, 378, 392, 1040"
Elaenia flavogaster,Elaenia flavogaster,Yellow-bellied Elaenia,B,64,24.8,,21,29,,Trinidad ,359
Elaenia ridleyana,Elaenia ridleyana,Noronha Elaenia,B,9,33,,31,40,,Ilha Fernando de Noronha,835
Elaenia albiceps,Elaenia albiceps,White-crested Elaenia,U,89,15.5,1,13.4,17.8,,Argentina,210
Elaenia parvirostris,Elaenia parvirostris,Small-billed Elaenia,B,37,13.8,,10.9,16.8,,Bolivia,1055
Elaenia strepera,Elaenia strepera,Slaty Elaenia,M,7,19.3,,13.3,21,,Peru; Argentina; Bolivia,"370, 1040, 1055"
Elaenia mesoleuca,Elaenia mesoleuca,Olivaceous Elaenia,B,17,,,15.5,20,,Brazil,64
Elaenia gigas,Elaenia gigas,Mottle-backed Elaenia,M,1,31,,,,,Peru,1288
Elaenia cristata,Elaenia cristata,Plain-crested Elaenia,U,17,18.2, ,16,21.6,,Suriname,498
Elaenia ruficeps,Elaenia ruficeps,Rufous-crowned Elaenia,M,15,19.2,,16.6,21.3,,Suriname,498
Elaenia ruficeps,Elaenia ruficeps,Rufous-crowned Elaenia,F,9,18.3,,16.4,19.7,,,
Elaenia chiriquensis,Elaenia chiriquensis,Lesser Elaenia,U,260,15.4,1.9,11.9,22.1,,"Mato Grosso, Brazil",392
Elaenia frantzii,Elaenia frantzii,Mountain Elaenia,U,81,19.6,1.4,14,23,,El Salvador,1041a
Elaenia obscura,Elaenia obscura,Highland Elaenia,B,14,23.9,5.8,14.7,34.5,,Columbia; Brazil,"64, 752, 798, 878"
Elaenia pallatangae,Elaenia pallatangae,Sierran Elaenia,B,14,17.8,,14.9,20,,Venezuela,1308
Elaenia fallax,Elaenia fallax,Greater Antillean Elaenia,U,9,14.4,,13.4,15.2,,Dominican Republic,19
Serpophaga cinerea,Serpophaga cinerea,Torrent Tyrannulet,U,8,8.3,,,,, ,"489, 953, 1311"
Serpophaga nigricans,Serpophaga nigricans,Sooty Tyrannulet,B,4,8.5,, , ,, ,"64, 363"
Serpophaga hypoleuca,Serpophaga hypoleuca,River Tyrannulet,U,,,,5.5,6.7,,,275
Serpophaga subcristata,Serpophaga subcristata,White-crested Tyrannulet,B,7,6.6,,5,8.5,,Brazil; Argentina,"64, 210a, 752, 1040"
Serpophaga munda,Serpophaga munda,White-bellied Tyrannulet ,U,4,5.4,,4.5,6.8,, ,"210a, 1055"
Mionectes oleagineus,Mionectes oleagineus,Ochre-bellied Flycatcher,B,260,12.1,,9,15,,Trinidad,1131
Mionectes oleagineus,Mionectes oleagineus,Ochre-bellied Flycatcher,B,47,9.6,0.7,7.5,10.8,,Peru,167
Mionectes oleagineus,Mionectes oleagineus,Ochre-bellied Flycatcher,B,31,12,1.2,10,14.8,,Bolivia,167
Mionectes striaticollis,Mionectes striaticollis,Streak-necked Flycatcher,U,89,15,1.7,,,,Peru,1288
Mionectes olivaceus,Mionectes olivaceus,Olive-striped Flycatcher,B,20,16.4,1.2,14.4,18.5,,Panama,79
Mionectes olivaceus,Mionectes olivaceus,Olive-striped Flycatcher,U,40,14.3,1.2,11.7,16.6,,Columbia,1037
Mionectes rufiventris,Mionectes rufiventris,Gray-hooded  Flycatcher,U,14,13.3,,7.5,16.8,,Brazil,"64, 878"
Mionectes macconnelli,Mionectes macconnelli,MacConnell's Flycatcher,U,39,13.5,1.3,10,16,,Bolivia,167
Leptopogon rufipectus,Leptopogon rufipectus,Rufous-breasted Flycatcher,B,8,13.4,,10,18, ,Peru; Ecuador,"900, 953"
Leptopogon taczanowskii,Leptopogon taczanowskii,Inca Flycatcher,U,2,11.5,,11.5,11.5,,Peru,1143
Leptopogon amaurocephalus,Leptopogon amaurocephalus,Sepia-capped Flycatcher,U,27,11.7,0.9,,,,Peru,1288
Leptopogon superciliaris,Leptopogon superciliaris,Slaty-capped Flycatcher,B,30,11.7,,9.5,13, ,Trinidad,359
Pseudotriccus pelzelni,Pseudotriccus pelzelni,Bronze-olive Pygmy-Tyrant,U,22,10.9,0.8,,,,Peru,1288
Pseudotriccus simplex,Pseudotriccus simplex,Hazel-fronted Pygmy-Tyrant,B,8,9.5,,,,,Peru,370
Pseudotriccus ruficeps,Pseudotriccus ruficeps,Rufous-headed Pygmy-Tyrant,U,14,11.3,,,,, ,"953, 963, 1288, 1311"
Phylloscartes ophthalmicus,Phylloscartes ophthalmicus,Marble-faced Bristle-Tyrant,B,9,9.2,,,,,Peru,370
Phylloscartes venezuelanus,Phylloscartes venezuelanus,Venezuelan Bristle-Tyrant,U,,9,,,,,,522
Phylloscartes lanyoni,Phylloscartes lanyoni,Antioquia Bristle-Tyrant,U,,8,,,,,estimated,275
Phylloscartes orbitalis,Phylloscartes orbitalis,Spectacled Bristle-Tyrant,M,6,7.6,,,,,Peru,370
Phylloscartes orbitalis,Phylloscartes orbitalis,Spectacled Bristle-Tyrant,F,8,6.6,,,,,,
Phylloscartes poecilotis,Phylloscartes poecilotis,Variegated Bristle-Tyrant,U,3,8,,7,9.5,,Columbia; Peru,"798, 1288"
Phylloscartes eximius,Phylloscartes eximius,Southern Bristle-Tyrant,U,,7.5,,,,,Brazil,1105
Phylloscartes nigrifrons,Phylloscartes nigrifrons,Black-fronted Bristle-Tyrant,B,5,9.1,,8,11.1,,Venezuela,"1143, 1148, 1153"
Phylloscartes chapmani,Phylloscartes chapmani,Chapman's Bristle-Tyrant,M,13,8.8,0.6,8,9.5,,Venezuela,1308
Phylloscartes chapmani,Phylloscartes chapmani,Chapman's Bristle-Tyrant,F,3,7.3,,7,7.5,,,
Phylloscartes gualaquizae,Phylloscartes gualaquizae,Ecuadorian Tyrannulet,U,,8,,,,,,275
Phylloscartes flaviventris,Phylloscartes flaviventris,Rufous-lored Tyrannulet,U,,8,,,,,,275
Phylloscartes parkeri,Phylloscartes parkeri,Cinnamon-faced Tyrannulet,M,1,8.1,,,,,Peru,368
Phylloscartes roquettei,Phylloscartes roquettei,Minas Gerais Tyrannulet,M,1,6,,,,,Brazil,637
Phylloscartes paulista,Phylloscartes paulista,Sao Paulo Tyrannulet,U,,,,7,8,,,275
Phylloscartes oustaleti,Phylloscartes oustaleti,Oustalet's Tyrannulet,B,2,10,,9.4,10.5,,Brazil,1178
Phylloscartes kronei,Phylloscartes kronei,Restinga Tyrannulet,B,2,8.3,,7.8,8.8,,Brazil,1315
Phylloscartes difficilis,Phylloscartes difficilis,Serra do Mar Tyrannulet,U,5,6.9,,6,8,,Brazil,"64, 961"
Phylloscartes ceciliae,Phylloscartes ceciliae,Alagoas Tyrannulet,B,4,7.6,,6.1,9,,northeast Brazil,1204
Phylloscartes ventralis,Phylloscartes ventralis,Mottle-checked Tyrannulet,B,11,8.3,,7.5,10,,Brazil; Peru; Paraguay,"64, 132, 961, 1288"
Phylloscartes beckeri,Phylloscartes beckeri,Bahia Tyrannulet,U,4,8.7,,7.5,9,,"Bahia, Brazil",434
Phylloscartes flavovirens,Phylloscartes flavovirens,Yellow-green Tyrannulet,U,1,8.8,,,,,Panama,1180
Phylloscartes virescens,Phylloscartes virescens,Olive-green Tyrannulet,B,7,8.5,,6.9,11,,French Guiana; Suriname; Brazil,"195, 293, 498"
Phylloscartes superciliaris,Phylloscartes superciliaris,Rufous-browed Tyrannulet,M,2,8.5,,8,9,,Ecuador,1147
Phylloscartes superciliaris,Phylloscartes superciliaris,Rufous-browed Tyrannulet,F,1,7,,,,,,
Phylloscartes sylviolus,Phylloscartes sylviolus,Bay-ringed Tyrannulet,U,,8,,,,,estimated,275
Phyllomyias fasciatus,Phyllomyias fasciatus,Planalto Tyrannulet,B,5,10.3,,8.1,11,,Brazil,"64, 752"
Phyllomyias zeledoni,Phyllomyias zeledoni,White-fronted Tyrannulet,U,1,10.3,,,,,Panama,489
Phyllomyias burmeisteri,Phyllomyias burmeisteri,Rough-legged Tyrannulet,B,4,11.1,,9.8,12,,Brazil; Peru; Argentina,"64, 259, 1040"
Phyllomyias virescens,Phyllomyias virescens,Greenish Tyrannulet,B,9,8.2,,6,12,,Argentina; Paraguay,"132, 1040"
Phyllomyias reiseri urichi,Phyllomyias reiseri,Reiser's Tyrannulet,U,,,,7,8,,,522
Phyllomyias sclateri,Phyllomyias sclateri,Sclater's Tyrannulet,M,1,9.2,,,,,Argentina,1037
Phyllomyias griseiceps,Phyllomyias griseiceps,Sooty-headed Tyrannulet,B,2,7.2,,7,7.4,,Ecuador,1147
Phyllomyias nigrocapillus,Phyllomyias nigrocapillus,Black-capped Tyrannulet,B,17,9.5,,8.8,10.4,,Columbia,324a
Phyllomyias cinereiceps,Phyllomyias cinereiceps,Ashy-headed Tyrannulet,U,1,9.5,,,,,Columbia,881
Phyllomyias uropygialis,Phyllomyias uropygialis,Tawny-rumped Tyrannulet,M,11,9.4,, , ,,Bolivia,963
Phyllomyias uropygialis,Phyllomyias uropygialis,Tawny-rumped Tyrannulet,F,8,8.6,,,,,,
Zimmerius vilissimus,Zimmerius vilissimus,Paltry Tyrannulet,U,15,9.7,,,,,Panama,675
Zimmerius improbus,Zimmerius improbus,Venezuelan Tyrannulet,U,,10.9,,,,,,522
Zimmerius bolivianus,Zimmerius bolivianus,Bolivian Tyrannulet,B,2,11,,10,11.9,,Peru,1288
Zimmerius cinereicapillus ,Zimmerius cinereicapillus,Red-billed Tyrannulet,B,6,11.8,,10.7,13.8,,Ecuador; Peru,9
